0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
-21.27603304385002,-21.27603304385002,-21.27603304385002,-21.27603304385002,-21.27603304385002,-21.27603304385002,-21.27603304385002,-21.27603304385002,-21.27603304385002,-21.27603304385002,-21.27603304385002,-21.27603304385002,-21.27603304385002,-21.27603304385002,-21.27603304385002,-21.27603304385002,-21.27603304385002,-21.27603304385002,-21.27603304385002,-21.27603304385002,-21.27603304385002,-21.27603304385002,-21.27603304385002,-21.27603304385002,-21.27603304385002
-19.655001044250024,-19.655001044250024,-19.655001044250024,-19.655001044250024,-19.655001044250024,-19.655001044250024,-19.655001044250024,-19.655001044250024,-19.655001044250024,-19.655001044250024,-19.655001044250024,-19.655001044250024,-19.655001044250024,-19.655001044250024,-19.655001044250024,-19.655001044250024,-19.655001044250024,-19.655001044250024,-19.655001044250024,-19.655001044250024,-19.655001044250024,-19.655001044250024,-19.655001044250024,-19.655001044250024,-19.655001044250024
-18.033969044699994,-18.033969044699994,-18.033969044699994,-18.033969044699994,-18.033969044699994,-18.033969044699994,-18.033969044699994,-18.033969044699994,-18.033969044699994,-18.033969044699994,-18.033969044699994,-18.033969044699994,-18.033969044699994,-18.033969044699994,-18.033969044699994,-18.033969044699994,-18.033969044699994,-18.033969044699994,-18.033969044699994,-18.033969044699994,-18.033969044699994,-18.033969044699994,-18.033969044699994,-18.033969044699994,-18.033969044699994
-16.412937045099987,-16.412937045099987,-16.412937045099987,-16.412937045099987,-16.412937045099987,-16.412937045099987,-16.412937045099987,-16.412937045099987,-16.412937045099987,-16.412937045099987,-16.412937045099987,-16.412937045099987,-16.412937045099987,-16.412937045099987,-16.412937045099987,-16.412937045099987,-16.412937045099987,-16.412937045099987,-16.412937045099987,-16.412937045099987,-16.412937045099987,-16.412937045099987,-16.412937045099987,-16.412937045099987,-16.412937045099987
-14.791905045500007,-14.791905045500007,-14.791905045500007,-14.791905045500007,-14.791905045500007,-14.791905045500007,-14.791905045500007,-14.791905045500007,-14.791905045500007,-14.791905045500007,-14.791905045500007,-14.791905045500007,-14.791905045500007,-14.791905045500007,-14.791905045500007,-14.791905045500007,-14.791905045500007,-14.791905045500007,-14.791905045500007,-14.791905045500007,-14.791905045500007,-14.791905045500007,-14.791905045500007,-14.791905045500007,-14.791905045500007
-13.170873045899992,-13.170873045899992,-13.170873045899992,-13.170873045899992,-13.170873045899992,-13.170873045899992,-13.170873045899992,-13.170873045899992,-13.170873045899992,-13.170873045899992,-13.170873045899992,-13.170873045899992,-13.170873045899992,-13.170873045899992,-13.170873045899992,-13.170873045899992,-13.170873045899992,-13.170873045899992,-13.170873045899992,-13.170873045899992,-13.170873045899992,-13.170873045899992,-13.170873045899992,-13.170873045899992,-13.170873045899992
-11.54984104635001,-11.54984104635001,-11.54984104635001,-11.54984104635001,-11.54984104635001,-11.54984104635001,-11.54984104635001,-11.54984104635001,-11.54984104635001,-11.54984104635001,-11.54984104635001,-11.54984104635001,-11.54984104635001,-11.54984104635001,-11.54984104635001,-11.54984104635001,-11.54984104635001,-11.54984104635001,-11.54984104635001,-11.54984104635001,-11.54984104635001,-11.54984104635001,-11.54984104635001,-11.54984104635001,-11.54984104635001
-9.928809046750002,-9.928809046750002,-9.928809046750002,-9.928809046750002,-9.928809046750002,-9.928809046750002,-9.928809046750002,-9.928809046750002,-9.928809046750002,-9.928809046750002,-9.928809046750002,-9.928809046750002,-9.928809046750002,-9.928809046750002,-9.928809046750002,-9.928809046750002,-9.928809046750002,-9.928809046750002,-9.928809046750002,-9.928809046750002,-9.928809046750002,-9.928809046750002,-9.928809046750002,-9.928809046750002,-9.928809046750002
-8.30777704714999,-8.30777704714999,-8.30777704714999,-8.30777704714999,-8.30777704714999,-8.30777704714999,-8.30777704714999,-8.30777704714999,-8.30777704714999,-8.30777704714999,-8.30777704714999,-8.30777704714999,-8.30777704714999,-8.30777704714999,-8.30777704714999,-8.30777704714999,-8.30777704714999,-8.30777704714999,-8.30777704714999,-8.30777704714999,-8.30777704714999,-8.30777704714999,-8.30777704714999,-8.30777704714999,-8.30777704714999
-6.6867450475499925,-6.6867450475499925,-6.6867450475499925,-6.6867450475499925,-6.6867450475499925,-6.6867450475499925,-6.6867450475499925,-6.6867450475499925,-6.6867450475499925,-6.6867450475499925,-6.6867450475499925,-6.6867450475499925,-6.6867450475499925,-6.6867450475499925,-6.6867450475499925,-6.6867450475499925,-6.6867450475499925,-6.6867450475499925,-6.6867450475499925,-6.6867450475499925,-6.6867450475499925,-6.6867450475499925,-6.6867450475499925,-6.6867450475499925,-6.6867450475499925
